"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"SG_PARTIDO";"NM_PARTIDO";"NR_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_SITUACAO_CANDIDATURA";"DS_DETALHE_SITUACAO_CAND";"DS_SITUACAO_JULGAMENTO";"DS_SITUACAO_CASSACAO";"DS_SITUACAO_SUBSTITUICAO";"DS_OCUPACAO";"ST_REELEICAO";"NM_MUNICIPIO_NASCIMENTO";"SG_UF_NASCIMENTO"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537531";"40444";"LADISLE CAMARGO TEIXEIRA";"LADISLÊ TEIXEIRA";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"INDUSTRIAL";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537538";"40040";"PAULO DE TARSO GASPAR PINHEIRO MACHADO";"PAULO DE TARSO";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ECONOMISTA";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537533";"40004";"VINICIUS KLEIN BONDAN";"VINICIUS BONDAN";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ADVOGADO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539792";"12555";"MARILUCE DOS SANTOS KURZ VIEIRA";"MARI KURZ";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"PROFESSOR DE ENSINO SUPERIOR";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539818";"12580";"REGINA MARIA BECKER";"REGINA BECKER FORTUNATI";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"RELAÇÕES-PÚBLICAS";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539800";"12220";"LUIS ROGERIO MARENCO FERRAN";"LUIZ MARENCO";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"MÚSICO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539790";"12008";"RAQUEL FRANTZ MÖLLER ESTIVALETE";"RÀQUEL MÖLLER";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"RELAÇÕES-PÚBLICAS";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539815";"12999";"RONI DA SILVA";"GARÇOM RONI";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"GARÇOM";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534016";"65653";"NILVO RIBOLDI FILHO";"NILVO RIBOLDI";"PCDOB";"PARTIDO COMUNISTA DO BRASIL";"65";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534019";"13001";"GILBERTO JOSÉ SPIER VARGAS";"PEPE VARGAS";"PT";"PARTIDO DOS TRABALHADORES";"13";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"DEPUTADO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534043";"13007";"LEONEL GUTERRES RADDE";"LEONEL RADDE";"PT";"PARTIDO DOS TRABALHADORES";"13";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"DEPUTADO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534045";"13303";"HELENIR AGUIAR SCHÜRER";"PROFESSORA HELENIR";"PT";"PARTIDO DOS TRABALHADORES";"13";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"SERVIDOR PÚBLICO CIVIL APOSENTADO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534033";"13513";"MARIA EUNICE DIAS WOLF";"MARIA EUNICE";"PT";"PARTIDO DOS TRABALHADORES";"13";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533937";"50005";"DANIELLE DOS SANTOS KROEFF";"PROFESSORA DANI KROEFF";"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";"50";"102";"FEDERAÇÃO PSOL REDE";"50-PSOL/18-REDE";"#NE";"";"";"";"";"PROFESSOR DE ENSINO MÉDIO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537537";"40180";"BRUNA LIEGE DA SILVA RODRIGUES";"BRUNA RODRIGUES";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537527";"40401";"JAQUELINE PEREIRA SILVEIRA CIBELLI DE CASTRO";"JAQUE SILVEIRA";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"EMPRESÁRIO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002544838";"16000";"PATRICIA DE CASTRO PEIXE";"PATRÍCIA PEIXE";"PSTU";"PARTIDO SOCIALISTA  DOS TRABALHADORES UNIFICADO";"16";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"PROFESSOR DE ENSINO FUNDAMENTAL";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002544839";"16161";"ANDERSON DA SILVA RODRIGUES";"ANDERSON SILVA";"PSTU";"PARTIDO SOCIALISTA  DOS TRABALHADORES UNIFICADO";"16";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ENGENHEIRO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539787";"12613";"LEIDINARA FERREIRA MARQUES";"LEIDINARA MARQUES";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ASSISTENTE SOCIAL";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539807";"12192";"LUIS FERNANDO PERES DOS SANTOS";"LUIS FERNANDO BRAITE";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"VEREADOR";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539808";"12120";"MATHEUS PORCIUNCULA MACHADO POMPEO DE MATTOS";"POMPEO FILHO";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ADVOGADO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002539789";"12003";"POLIANA MARTINAZZO";"POLI MARTINAZZO";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"12";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"PROFESSOR DE ENSINO FUNDAMENTAL";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534034";"13800";"LÉLIO NUNES LOPES FILHO";"LELINHO LOPES";"PT";"PARTIDO DOS TRABALHADORES";"13";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"VEREADOR";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534004";"65444";"ERICK DÊNIL MACHADO PIMENTEL";"ERICK DENIL";"PCDOB";"PARTIDO COMUNISTA DO BRASIL";"65";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"VEREADOR";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002534053";"13003";"MARCELO CORDEIRO";"MARCELO CORDEIRO";"PT";"PARTIDO DOS TRABALHADORES";"13";"101";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"13-PT/65-PC do B/43-PV";"#NE";"";"";"";"";"SERVIDOR PÚBLICO MUNICIPAL";"";"";"SC"
