"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO_ATUAL";"SQ_CANDIDATO_ATUAL";"SG_UF_ATUAL";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"21/09/2026";"12:34:43";"2026";"210002539794";"RS";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"2020-11-15 00:00:00";"M";"RS";"87246";"NOVA SANTA RITA";"13";"Vereador";"210000958945";"12123";"JOSE ANTONIO FLORES MINETTI";"MINETTI";"12";"PDT";"Partido Democrático Trabalhista";"12";"Apto";"-3";"#NE";"5";"Suplente"
"21/09/2026";"12:34:43";"2026";"210002539798";"RS";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"2020-11-15 00:00:00";"M";"RS";"98256";"PAROBÉ";"11";"Prefeito";"210000856352";"12";"DIEGO DAL PIVA DA LUZ";"DIEGO PICUCHA";"12";"PDT";"Partido Democrático Trabalhista";"12";"Apto";"-3";"#NE";"1";"Eleito"
"21/09/2026";"12:34:43";"2026";"210002534011";"RS";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"2020-11-15 00:00:00";"M";"RS";"89273";"TAQUARA";"13";"Vereador";"210000669762";"13456";"MÔNICA JULIANA FACIO";"PROFESSORA MÔNICA";"13";"PT";"Partido dos Trabalhadores";"12";"Apto";"-3";"#NE";"4";"Não eleito"
"21/09/2026";"12:34:43";"2026";"210002534020";"RS";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"2018-10-07 00:00:00";"E";"RS";"RS";"RIO GRANDE DO SUL";"7";"Deputado Estadual";"210000611364";"13131";"HALLEY LINO DE SOUZA";"HALLEY";"13";"PT";"Partido dos Trabalhadores";"12";"Apto";"-3";"#NE";"5";"Suplente"
"21/09/2026";"12:34:43";"2026";"210002534041";"RS";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"2018-10-07 00:00:00";"E";"RS";"RS";"RIO GRANDE DO SUL";"7";"Deputado Estadual";"210000611369";"13000";"NELSON SPOLAOR";"NELSON SPOLAOR";"13";"PT";"Partido dos Trabalhadores";"12";"Apto";"-3";"#NE";"5";"Suplente"
"21/09/2026";"12:34:43";"2026";"210002539799";"RS";"2012";"2";"Eleição Ordinária";"1";"47";"Eleição Municipal 2012";"2012-10-07 00:00:00";"M";"RS";"89630";"VIAMÃO";"12";"Vice-prefeito";"210000000430";"50";"CARLOS AUGUSTO DA SILVA LOPES";"GUTO";"50";"PSOL";"Partido Socialismo e Liberdade";"12";"Apto";"-3";"#NE";"4";"Não eleito"
"21/09/2026";"12:34:43";"2026";"210002537530";"RS";"2012";"2";"Eleição Ordinária";"1";"47";"Eleição Municipal 2012";"2012-10-07 00:00:00";"M";"RS";"89125";"CAPÃO BONITO DO SUL";"13";"Vereador";"210000032939";"65165";"ANDRÉ CASSIO DA SILVA OLIVEIRA";"ANDRE CASSIO DA SILVA OLIVEIRA";"65";"PC do B";"Partido Comunista do Brasil";"12";"Apto";"-3";"#NE";"5";"Suplente"
"21/09/2026";"12:34:43";"2026";"210002539791";"RS";"2012";"2";"Eleição Ordinária";"1";"47";"Eleição Municipal 2012";"2012-10-07 00:00:00";"M";"RS";"85219";"ARROIO DOS RATOS";"13";"Vereador";"210000020048";"12365";"CLEOMAR SANTOS OLIVEIRA";"MARA";"12";"PDT";"Partido Democrático Trabalhista";"12";"Apto";"-3";"#NE";"5";"Suplente"
"21/09/2026";"12:34:43";"2026";"210002539785";"RS";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"2020-11-15 00:00:00";"M";"RS";"89257";"TAPES";"13";"Vereador";"210000878752";"12333";"EVANIA MARIA SILVEIRA NUNES DE LIMA";"EVANIA NUNES";"12";"PDT";"Partido Democrático Trabalhista";"12";"Apto";"-3";"#NE";"3";"Eleito por média"
"21/09/2026";"12:34:43";"2026";"210002534019";"RS";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"2020-11-15 00:00:00";"M";"RS";"85995";"CAXIAS DO SUL";"11";"Prefeito";"210000650670";"13";"GILBERTO JOSÉ SPIER VARGAS";"PEPE VARGAS";"13";"PT";"Partido dos Trabalhadores";"12";"Apto";"-3";"#NE";"6";"2º turno"
