"DT_GERACAO";"HH_GERACAO";"SQ_CANDIDATO";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"ST_REELEICAO";"CD_SITUACAO_CANDIDATO_PLEITO";"DS_SITUACAO_CANDIDATO_PLEITO";"CD_SITUACAO_CANDIDATO_URNA";"DS_SITUACAO_CANDIDATO_URNA";"CD_SITUACAO_CANDIDATO_TOT";"DS_SITUACAO_CANDIDATO_TOT";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_JULGAMENTO_PLEITO";"DS_SITUACAO_JULGAMENTO_PLEITO";"CD_SITUACAO_JULGAMENTO_URNA";"DS_SITUACAO_JULGAMENTO_URNA";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_CASSACAO_MIDIA";"DS_SITUACAO_CASSACAO_MIDIA";"CD_SITUACAO_DIPLOMA";"DS_SITUACAO_DIPLOMA"
"21/09/2026";"12:31:37";"210002537537";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539780";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537527";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533942";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533938";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539788";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539800";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534026";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533924";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533930";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537526";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534040";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533940";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533391";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537542";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534005";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533939";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537541";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537530";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539797";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537534";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539806";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539820";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539822";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534010";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534025";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534012";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533925";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537543";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539795";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537539";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002539803";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534020";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534034";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534032";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534024";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534027";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002533937";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002537525";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534041";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534015";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
"21/09/2026";"12:31:37";"210002534050";"-3";"#NE";"#NE";"-3";"#NE";"-3";"#NE";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"2";"DEFERIDO";"-1";"#NULO";"-1";"#NULO";"-1";"#NULO"
