id_tse;nome;numero;partido;pleitos_no_historico;mandato_documentado;situacao_mandato;fonte_mandato;fonte_pautas;consulta
240002540095;Larissa Stephanie;65180;PCdoB;3;False;Mandato atual não confirmado;;;2026-09-21
240002540078;Paulinho da Silva;65500;PCdoB;7;True;Vereador de Chapecó;https://www.cmc.sc.gov.br/vereadores;https://paulinhodasilva.com.br/;2026-09-21
240002533289;A Júlia da Causa Animal;12022;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002533284;Alexandre Caminha;12222;PDT;3;False;Mandato atual não confirmado;;;2026-09-21
240002533303;Ana Liz;12777;PDT;1;False;Mandato atual não confirmado;;;2026-09-21
240002533285;André Guesser;12456;PDT;5;True;Vereador de São José;https://www.instagram.com/reel/DaybALjvgR8/;https://vereador.andreguesser.com.br/;2026-09-21
240002533288;André Xavier;12121;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002533300;Carlos Castro;12055;PDT;3;False;Mandato atual não confirmado;;;2026-09-21
240002533304;Carol da Rocha;12333;PDT;1;False;Mandato atual não confirmado;;;2026-09-21
240002533277;Ciça Müller;12012;PDT;3;True;Vereadora de Balneário Camboriú;https://www.vereadoracicamuller.com.br/;https://www.vereadoracicamuller.com.br/;2026-09-21
240002533274;Dorlei;12678;PDT;10;False;Mandato atual não confirmado;;;2026-09-21
240002533275;Dr. Anibal Dario;12999;PDT;3;False;Mandato atual não confirmado;;;2026-09-21
240002533276;Eliane Araújo;12444;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002533287;Gui Pereira;12100;PDT;7;True;Vereador de Florianópolis;https://www.cmf.sc.gov.br/camara/membros/legislaturas;https://www.cmf.sc.gov.br/proposicoes/Projetos-de-Leis-ordinarias/2025/9/0;2026-09-21
240002533286;Haneron;12200;PDT;1;False;Mandato atual não confirmado;;;2026-09-21
240002533282;Hilda Deola;12000;PDT;6;True;Vereadora de Itajaí;https://www.cvi.sc.gov.br/noticia/53a-sessao-ordinaria-aprovado-pagamento-de-beneficios-congelados-na-pandemia-1000140;;2026-09-21
240002533280;Janete Krueger;12102;PDT;4;False;Mandato atual não confirmado;;;2026-09-21
240002533298;Jefinho Chupel;12001;PDT;3;False;Mandato atual não confirmado;;;2026-09-21
240002533306;João Roque;12320;PDT;6;False;Mandato atual não confirmado;;;2026-09-21
240002533299;José Carlos;12321;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002536965;Juliano da Emuvi;12400;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002533291;Juninho;12095;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002533307;Junior do Esporte;12220;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002533302;Lu Dias;12300;PDT;1;False;Mandato atual não confirmado;;;2026-09-21
240002533279;Luciano Buligon;12123;PDT;6;False;Mandato atual não confirmado;;;2026-09-21
240002533296;Magno Júnior;12191;PDT;2;False;Mandato atual não confirmado;;;2026-09-21
240002533295;Mariana Franco;12180;PDT;4;False;Mandato atual não confirmado;;;2026-09-21
240002533301;Prof. Evandro Accadrolli;12640;PDT;1;False;Mandato atual não confirmado;;https://professorevandro.com/;2026-09-21
240002533281;Prof. Fabricio;12500;PDT;6;True;Vereador de Timbó;https://www.instagram.com/fabriciodalcastagne/;;2026-09-21
240002533292;Pupo Junckes;12280;PDT;9;False;Mandato atual não confirmado;;;2026-09-21
240002533297;Rita Lang;12282;PDT;4;False;Mandato atual não confirmado;;;2026-09-21
240002533278;Rodrigo Barros;12111;PDT;1;False;Mandato atual não confirmado;;;2026-09-21
240002533283;Rodrigo Minotto;12345;PDT;7;True;Deputado estadual;https://www.alesc.sc.gov.br/deputados/;;2026-09-21
240002533293;Rosenvaldo Junior;12789;PDT;7;False;Mandato atual não confirmado;;;2026-09-21
240002533290;Selma Adão;12612;PDT;4;False;Mandato atual não confirmado;;;2026-09-21
240002533294;Victor Piccoli;12555;PDT;4;True;Vereador de Camboriú;https://www.camaracamboriu.sc.gov.br/camara/membros/show/119;;2026-09-21
240002533305;Victoria Salgado;12112;PDT;1;False;Mandato atual não confirmado;;;2026-09-21
240002537803;Ágatha Brum;50044;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002537816;Alex Stein;50005;PSOL;2;False;Mandato atual não confirmado;;;2026-09-21
240002537821;Alexandre Nau;50000;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002537823;Amarildo Narciso;50789;PSOL;4;False;Mandato atual não confirmado;;;2026-09-21
240002537812;Ana Flávia;50777;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002537817;Ana Vaz;50123;PSOL;2;False;Mandato atual não confirmado;;;2026-09-21
240002537807;Ângelo Chocolate;50333;PSOL;2;False;Mandato atual não confirmado;;;2026-09-21
240002537824;Camasão;50500;PSOL;8;True;Vereador de Florianópolis;https://www.cmf.sc.gov.br/camara/membros/show/295;https://camasao.com/;2026-09-21
240002537810;Carlos Silva;50900;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002537814;Douglas Meriz;50505;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002537813;Fabinho Henschel;50007;PSOL;2;False;Mandato atual não confirmado;;;2026-09-21
240002537820;Fábio de Oliveira;50369;PSOL;3;False;Mandato atual não confirmado;;;2026-09-21
240002537809;Geleia;50550;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002537818;Gerson Popaye;50111;PSOL;2;False;Mandato atual não confirmado;;;2026-09-21
240002537798;Ingrid Sateré Mawé;50180;PSOL;3;True;Vereadora de Florianópolis;http://ingridsateremawe.com.br/;http://ingridsateremawe.com.br/;2026-09-21
240002537801;Jô Marquez;50096;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002537808;Mariana Sartor;50100;PSOL;2;False;Mandato atual não confirmado;;https://marianasartor.com.br/;2026-09-21
240002537811;Marquito;50150;PSOL;6;True;Deputado estadual · licenciado;https://alesc.sc.gov.br/agencia/noticia/deputados-aprovam-incentivo-financeiro-para-captura-de-javalis-e-politica-para-desenvolvimento-de-areas-nauticas/;https://www.alesc.sc.gov.br/agencia/noticia/marquito-propoe-incentivo-as-cozinhas-comunitarias-e-solidarias-em-sc/;2026-09-21
240002537819;Meirinho;50456;PSOL;3;False;Mandato atual não confirmado;;;2026-09-21
240002537815;Prof. Genésio Adolfo;50054;PSOL;4;False;Mandato atual não confirmado;;;2026-09-21
240002537822;Prof. Iza;50555;PSOL;2;False;Mandato atual não confirmado;;;2026-09-21
240002537806;Professor Andrew Leal;50321;PSOL;3;False;Mandato atual não confirmado;;https://andrewleal.com.br/;2026-09-21
240002537802;Professor Marcelo;50600;PSOL;3;False;Mandato atual não confirmado;;http://www.professormarcelo50600.com.br/blog;2026-09-21
240002537804;Vivi do Juntos;50999;PSOL;1;False;Mandato atual não confirmado;;;2026-09-21
240002538100;Professor Cristiano Florêncio;16000;PSTU;3;False;Mandato atual não confirmado;;;2026-09-21
240002538099;Professora Nadir Fernandes;16016;PSTU;3;False;Mandato atual não confirmado;;;2026-09-21
240002540089;Arlindo Rocha;13013;PT;4;False;Mandato atual não confirmado;;;2026-09-21
240002540087;Bia Vargas;13620;PT;4;False;Mandato atual não confirmado;;;2026-09-21
240002540085;Cacica Eliara;13524;PT;2;False;Mandato atual não confirmado;;;2026-09-21
240002540101;Claudia Bratti;13130;PT;3;False;Mandato atual não confirmado;;;2026-09-21
240002540074;Cláudio Márcio;13100;PT;3;False;Mandato atual não confirmado;;;2026-09-21
240002540092;Dionísio Bertoldi;13456;PT;4;True;Vereador de Gaspar;https://www.instagram.com/p/Dc4SdenBS46/;;2026-09-21
240002540084;Fabiano da Luz;13500;PT;6;True;Deputado estadual;https://www.alesc.sc.gov.br/deputados/;https://www.fabianodaluz.com.br/;2026-09-21
240002540100;Gislaine Durski;13113;PT;4;False;Mandato atual não confirmado;;;2026-09-21
240002540072;Jaciara Machuga;13040;PT;2;False;Mandato atual não confirmado;;https://www.jaciaramachuga.com.br/;2026-09-21
240002540080;Jean Volpato;13313;PT;3;True;Vereador de Blumenau;https://camarablu.sc.gov.br/quem-sao/;https://jeanvolpato.com.br/;2026-09-21
240002540102;João Paulo;13200;PT;1;False;Mandato atual não confirmado;;;2026-09-21
240002540086;Jumeri Zanetti;13044;PT;5;False;Exercício por suplência em São José;https://jumerizanetti.com.br/;https://jumerizanetti.com.br/;2026-09-21
240002540076;Linno Vianna;13131;PT;1;False;Mandato atual não confirmado;;;2026-09-21
240002540083;Luciane Carminatti;13601;PT;9;True;Deputada estadual;https://www.alesc.sc.gov.br/deputados/;https://lucianecarminatti.com.br/;2026-09-21
240002540090;Marisa Zanoni - Nós Juntas;13300;PT;6;False;Mandato atual não confirmado;;;2026-09-21
240002540097;Maristela Francisco;13007;PT;2;False;Mandato atual não confirmado;;;2026-09-21
240002540094;Neodi Saretta;13120;PT;6;True;Deputado estadual;https://www.alesc.sc.gov.br/deputados/;;2026-09-21
240002540098;Osmar Barcaro;13999;PT;8;False;Mandato atual não confirmado;;;2026-09-21
240002540082;Padre Pedro;13987;PT;6;True;Deputado estadual;https://www.alesc.sc.gov.br/deputados/;https://www.alesc.sc.gov.br/agencia/noticia/comissao-de-direitos-humanos-aprova-projetos-sobre-manifestacoes-culturais-cristas-e-acoes-de-humanizacao-em-saude/;2026-09-21
240002540081;Paulo Eccel;13030;PT;9;False;Mandato atual não confirmado;;;2026-09-21
240002540071;Prof Caleb Clarindo;13321;PT;2;False;Mandato atual não confirmado;;;2026-09-21
240002540093;Professor Cadu;13123;PT;5;False;Mandato atual não confirmado;;https://professorcadusc.com.br/manifesto-pre-candidatura/;2026-09-21
240002540075;Professor Chico;13690;PT;3;False;Mandato atual não confirmado;;;2026-09-21
240002540091;Professor Vitor Xuxa;13000;PT;2;False;Mandato atual não confirmado;;;2026-09-21
240002540096;Professora Ana Lucia Martins;13180;PT;3;False;Mandato atual não confirmado;;;2026-09-21
240002540079;Rafael Consul Coletivo de Axé;13137;PT;4;False;Mandato atual não confirmado;;;2026-09-21
240002540077;Rafael Lima;13777;PT;1;False;Mandato atual não confirmado;;;2026-09-21
240002540073;Rodolfo de Ramos;13045;PT;2;False;Mandato atual não confirmado;;https://www.rodolfoprecandidatopt.com.br/;2026-09-21
240002540099;Rodrigo Preis;13470;PT;5;False;Mandato atual não confirmado;;https://rodrigopreis.com.br/;2026-09-21
240002540088;Tom da Barra PCD;13613;PT;4;False;Mandato atual não confirmado;;;2026-09-21
240002537799;Amanda Ribeiro;18180;REDE;2;False;Mandato atual não confirmado;;;2026-09-21
240002537805;José Júlio Guahnon;18800;REDE;1;False;Mandato atual não confirmado;;;2026-09-21
240002537800;Leandro da Silva;18000;REDE;2;False;Mandato atual não confirmado;;;2026-09-21
240002537825;Simone Moredo;18018;REDE;1;False;Mandato atual não confirmado;;;2026-09-21
