"candidate_id";"name";"historical_id";"year";"round";"office";"electoral_unit";"status";"requires_nominal_research"
"210002539778";"Airton Artus";"146";"2004";"1";"Vice-Prefeito";"89559";"not_applicable_vice_ticket";"False"
"210002539777";"Dr. Thiago";"210002355258";"2024";"1";"Vice-prefeito";"88013";"not_applicable_vice_ticket";"False"
"210002539803";"Gilmar Sossella";"210000604709";"2018";"1";"Deputado Estadual";"RS";"source_has_no_matching_record";"True"
"210002539799";"Guto Lopes";"210000000430";"2012";"1";"Vice-prefeito";"89630";"not_applicable_vice_ticket";"False"
"210002539799";"Guto Lopes";"210002528038";"2024";"1";"Prefeito";"89630";"source_has_no_matching_record";"True"
"210002539806";"Luciano Orsi";"210000030089";"2012";"1";"Vice-prefeito";"85774";"not_applicable_vice_ticket";"False"
"210002539822";"Paulinho da Bonja";"210000000881";"2010";"1";"Deputado Estadual";"RS";"source_has_no_matching_record";"True"
"210002539817";"Professora Regina";"210001615207";"2022";"1";"Vice-governador";"RS";"not_applicable_vice_ticket";"False"
"210002539784";"Rui Jordão";"210001240582";"2020";"1";"Vice-prefeito";"87912";"not_applicable_vice_ticket";"False"
"210002539804";"Thiago de Leon";"210002220301";"2024";"1";"Vice-prefeito";"86835";"not_applicable_vice_ticket";"False"
"210002539805";"Tiago Cadó";"210000019112";"2016";"1";"Vice-prefeito";"88633";"not_applicable_vice_ticket";"False"
"210002537539";"Alequis Coletivo";"210000001503";"2016";"1";"Vice-prefeito";"88927";"not_applicable_vice_ticket";"False"
"210002537539";"Alequis Coletivo";"210000687840";"2020";"1";"Vice-prefeito";"88927";"not_applicable_vice_ticket";"False"
"210002537545";"João Pedro Grill";"210000005674";"2012";"1";"Vice-prefeito";"88790";"not_applicable_vice_ticket";"False"
"210002537545";"João Pedro Grill";"210001602881";"2022";"1";"Deputado Estadual";"RS";"source_has_no_matching_record";"True"
"210002537531";"Ladislê Teixeira";"210000763650";"2020";"1";"Vereador";"88692";"source_has_no_matching_record";"True"
"210002537542";"Leandro Liban";"210000028548";"2016";"1";"Vereador";"88390";"source_has_no_matching_record";"True"
"210002533946";"Adriano Ricoldi";"210002528036";"2024";"1";"Prefeito";"89630";"source_has_no_matching_record";"True"
"210002533945";"Iverá";"12391";"2008";"1";"Vereador";"85898";"source_has_no_matching_record";"True"
"210002533937";"Professora Dani Kroeff";"210000774512";"2020";"1";"Vice-prefeito";"85898";"not_applicable_vice_ticket";"False"
"210002533937";"Professora Dani Kroeff";"210002366855";"2024";"1";"Vice-prefeito";"85898";"not_applicable_vice_ticket";"False"
"210002534036";"Adão Pretto";"210000660770";"2020";"1";"Vice-prefeito";"89630";"not_applicable_vice_ticket";"False"
"210002534040";"Ana Affonso";"210000606448";"2018";"1";"Vice-governador";"RS";"not_applicable_vice_ticket";"False"
"210002534018";"Cleonice Back";"210000606447";"2018";"1";"1º Suplente";"RS";"not_applicable_supplemental_ticket";"False"
"210002534020";"Halley";"22";"2004";"1";"Vice-Prefeito";"88153";"not_applicable_vice_ticket";"False"
"210002534020";"Halley";"210002056016";"2024";"1";"Prefeito";"88153";"source_has_no_matching_record";"True"
"210002534009";"Helen Cabral";"210000008742";"2016";"1";"Vice-prefeito";"88412";"not_applicable_vice_ticket";"False"
"210002534009";"Helen Cabral";"210000008742";"2016";"2";"Vice-prefeito";"88412";"not_applicable_vice_ticket";"False"
"210002534033";"Maria Eunice";"210001982281";"2024";"1";"Vice-prefeito";"85898";"not_applicable_vice_ticket";"False"
"210002534033";"Maria Eunice";"210001982281";"2024";"2";"Vice-prefeito";"85898";"not_applicable_vice_ticket";"False"
"210002534012";"Miguel Rossetto";"210000729171";"2020";"1";"Vice-prefeito";"88013";"not_applicable_vice_ticket";"False"
"210002534012";"Miguel Rossetto";"210000729171";"2020";"2";"Vice-prefeito";"88013";"not_applicable_vice_ticket";"False"
"210002534028";"Paulo Orelha";"210001112099";"2020";"1";"Vereador";"88633";"source_has_no_matching_record";"True"
"210002534005";"Picolotto";"210000000524";"2010";"1";"Deputado Estadual";"RS";"source_has_no_matching_record";"True"
"210002534032";"Professor Corazza";"210000000478";"2010";"1";"2º Suplente Senador";"RS";"not_applicable_supplemental_ticket";"False"
"210002534006";"Valdir Oliveira";"210000004234";"2012";"1";"Vice-prefeito";"88412";"not_applicable_vice_ticket";"False"
"210002534027";"Cláudia Azevedo";"210002528188";"2024";"1";"Vice-prefeito";"85618";"not_applicable_vice_ticket";"False"
