"candidate_id";"name";"party";"historical_id";"year";"round";"office";"uf";"electoral_unit";"status"
"210002537531";"Ladislê Teixeira";"PSB";"210000763650";"2020";"1";"Vereador";"RS";"88692";"source_has_no_matching_record"
"210002534033";"Maria Eunice";"PT";"210001982281";"2024";"1";"Vice-prefeito";"RS";"85898";"not_applicable_vice_ticket"
"210002534033";"Maria Eunice";"PT";"210001982281";"2024";"2";"Vice-prefeito";"RS";"85898";"not_applicable_vice_ticket"
"210002533937";"Professora Dani Kroeff";"PSOL";"210000774512";"2020";"1";"Vice-prefeito";"RS";"85898";"not_applicable_vice_ticket"
"210002533937";"Professora Dani Kroeff";"PSOL";"210002366855";"2024";"1";"Vice-prefeito";"RS";"85898";"not_applicable_vice_ticket"
"210002534027";"Cláudia Azevedo";"PV";"210002528188";"2024";"1";"Vice-prefeito";"RS";"85618";"not_applicable_vice_ticket"
"210002533946";"Adriano Ricoldi";"PSOL";"210002528036";"2024";"1";"Prefeito";"RS";"89630";"source_has_no_matching_record"
"210002539803";"Gilmar Sossella";"PDT";"210000604709";"2018";"1";"Deputado Estadual";"RS";"RS";"source_has_no_matching_record"
"210002533936";"Luciana Genro";"PSOL";"280000000043";"2014";"1";"Presidente";"";"";"national_or_other_uf_not_collected"
"210002537539";"Alequis Coletivo";"PSB";"210000001503";"2016";"1";"Vice-prefeito";"RS";"88927";"not_applicable_vice_ticket"
"210002537539";"Alequis Coletivo";"PSB";"210000687840";"2020";"1";"Vice-prefeito";"RS";"88927";"not_applicable_vice_ticket"
"210002539822";"Paulinho da Bonja";"PDT";"210000000881";"2010";"1";"Deputado Estadual";"RS";"RS";"source_has_no_matching_record"
"210002534012";"Miguel Rossetto";"PT";"210000729171";"2020";"1";"Vice-prefeito";"RS";"88013";"not_applicable_vice_ticket"
"210002534012";"Miguel Rossetto";"PT";"210000729171";"2020";"2";"Vice-prefeito";"RS";"88013";"not_applicable_vice_ticket"
"210002534018";"Cleonice Back";"PT";"210000606447";"2018";"1";"1º Suplente";"RS";"RS";"not_applicable_supplemental_ticket"
"210002537542";"Leandro Liban";"PSB";"210000028548";"2016";"1";"Vereador";"RS";"88390";"source_has_no_matching_record"
"210002539806";"Luciano Orsi";"PDT";"210000030089";"2012";"1";"Vice-prefeito";"RS";"85774";"not_applicable_vice_ticket"
"210002539817";"Professora Regina";"PDT";"210001615207";"2022";"1";"Vice-governador";"RS";"RS";"not_applicable_vice_ticket"
"210002534036";"Adão Pretto";"PT";"210000660770";"2020";"1";"Vice-prefeito";"RS";"89630";"not_applicable_vice_ticket"
"210002534005";"Picolotto";"PT";"210000000524";"2010";"1";"Deputado Estadual";"RS";"RS";"source_has_no_matching_record"
"210002534040";"Ana Affonso";"PT";"210000606448";"2018";"1";"Vice-governador";"RS";"RS";"not_applicable_vice_ticket"
"210002533932";"Rogério Chimanski";"REDE";"210000615842";"2018";"1";"Deputado Estadual";"RS";"RS";"source_has_no_matching_record"
"210002533932";"Rogério Chimanski";"REDE";"210001621255";"2022";"1";"Deputado Federal";"RS";"RS";"source_has_no_matching_record"
"210002539799";"Guto Lopes";"PDT";"210000000430";"2012";"1";"Vice-prefeito";"RS";"89630";"not_applicable_vice_ticket"
"210002539799";"Guto Lopes";"PDT";"210002528038";"2024";"1";"Prefeito";"RS";"89630";"source_has_no_matching_record"
"210002539804";"Thiago de Leon";"PDT";"210002220301";"2024";"1";"Vice-prefeito";"RS";"86835";"not_applicable_vice_ticket"
"210002539777";"Dr. Thiago";"PDT";"210002355258";"2024";"1";"Vice-prefeito";"RS";"88013";"not_applicable_vice_ticket"
"210002539784";"Rui Jordão";"PDT";"210001240582";"2020";"1";"Vice-prefeito";"RS";"87912";"not_applicable_vice_ticket"
"210002534009";"Helen Cabral";"PT";"210000008742";"2016";"1";"Vice-prefeito";"RS";"88412";"not_applicable_vice_ticket"
"210002534009";"Helen Cabral";"PT";"210000008742";"2016";"2";"Vice-prefeito";"RS";"88412";"not_applicable_vice_ticket"
"210002537545";"João Pedro Grill";"PSB";"210000005674";"2012";"1";"Vice-prefeito";"RS";"88790";"not_applicable_vice_ticket"
"210002537545";"João Pedro Grill";"PSB";"210001602881";"2022";"1";"Deputado Estadual";"RS";"RS";"source_has_no_matching_record"
"210002539805";"Tiago Cadó";"PDT";"210000019112";"2016";"1";"Vice-prefeito";"RS";"88633";"not_applicable_vice_ticket"
"210002534028";"Paulo Orelha";"PT";"210001112099";"2020";"1";"Vereador";"RS";"88633";"source_has_no_matching_record"
"210002534020";"Halley";"PT";"22";"2004";"1";"Vice-Prefeito";"RS";"88153";"not_applicable_vice_ticket"
"210002534020";"Halley";"PT";"210002056016";"2024";"1";"Prefeito";"RS";"88153";"source_has_no_matching_record"
"210002534032";"Professor Corazza";"PT";"210000000478";"2010";"1";"2º Suplente Senador";"RS";"RS";"not_applicable_supplemental_ticket"
"210002539778";"Airton Artus";"PDT";"146";"2004";"1";"Vice-Prefeito";"RS";"89559";"not_applicable_vice_ticket"
"210002534006";"Valdir Oliveira";"PT";"210000004234";"2012";"1";"Vice-prefeito";"RS";"88412";"not_applicable_vice_ticket"
"210002533945";"Iverá";"PSOL";"12391";"2008";"1";"Vereador";"RS";"85898";"source_has_no_matching_record"
