"id";"name";"full_name";"number";"party";"federation";"occupation";"status";"status_checked_at";"tse_url"
"210002534004";"Erick Denil";"Erick Dênil Machado Pimentel";"65444";"PCdoB";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"Vereador";"Deferido";"2026-09-21T17:06:16.325033+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534004"
"210002534029";"Giovani Culau";"Giovani Culau Oliveira";"65656";"PCdoB";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"Vereador";"Deferido";"2026-09-21T17:06:18.330416+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534029"
"210002534030";"Humberto Matos";"Humberto Matos de Oliveira";"65065";"PCdoB";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"Professor de Ensino Fundamental";"Deferido";"2026-09-21T17:06:18.456703+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534030"
"210002534016";"Nilvo Riboldi";"Nilvo Riboldi Filho";"65653";"PCdoB";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"Vendedor de Comércio Varejista e Atacadista";"Deferido";"2026-09-21T17:06:15.337718+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534016"
"210002534025";"Professora Bilina";"Bilina Amaral Peres";"65651";"PCdoB";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"Professor de Ensino Fundamental";"Deferido";"2026-09-21T17:06:23.406169+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534025"
"210002534031";"Sandra Picoli";"Sandra Regina Picoli Ostrovski";"65123";"PCdoB";"FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL";"Vereador";"Deferido";"2026-09-21T17:06:17.142299+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534031"
"210002539778";"Airton Artus";"Airton Luiz Artus";"12012";"PDT";"";"Médico";"Deferido";"2026-09-21T17:06:23.039961+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539778"
"210002539816";"Alexandre Gonçalves";"Carlos Alexandre Goncalves";"12001";"PDT";"";"Vereador";"Deferido";"2026-09-21T17:06:19.616980+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539816"
"210002539780";"Amanda Rodrigues";"Amanda Rodrigues da Silva";"12700";"PDT";"";"Professor de Ensino Fundamental";"Deferido";"2026-09-21T17:06:22.950773+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539780"
"210002539782";"André Duarte";"André Luís Freitas Duarte";"12470";"PDT";"";"Servidor Público Municipal";"Deferido";"2026-09-21T17:06:19.873878+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539782"
